param	ESS	ESS_ips	ESS_coda....as.numeric.ESS_coda.	delta_pct
t_n28	318.752508513846	318.752508513846	305.473856006326	-4.16581898270572
t_n24	482.720763550819	482.720763550819	528.691782357934	9.5233149842073
t_n27	527.093130550857	527.093130550857	675.706890098331	28.1949718054873
t_n25	528.883354637021	528.883354637021	611.26691602948	15.576886788014
t_n23	637.171268116637	637.171268116637	804.472385662126	26.2568521082253
t_n26	707.645465552837	707.645465552837	810.589800043095	14.5474449426217
t_n22	952.147605634329	952.147605634329	1339.88209277632	40.7220986376036
t_n16	1109.63669895755	1109.63669895755	1245.18547681158	12.2155997527274
t_n21	1192.06932527478	1192.06932527478	1609.49425362548	35.0168332915098
t_n20	1728.66015672184	1728.66015672184	1996.64299271733	15.5023435319803
t_n17	1866.15881307444	1866.15881307444	2023.85769980224	8.4504537139577
t_n19	1924.98851744107	1924.98851744107	2204.66735836254	14.5288576210962
t_n29	2307.26151688089	2307.26151688089	2635.48467337723	14.225659037561
t_n18	3105.28259035377	3105.28259035377	3505.66679047709	12.8936477912535
sigma2	5915.44446981328	5915.44446981328	7311.06950640683	23.5929023375246
mu	7936.24750531024	7936.24750531024	9998.35399399691	25.9833943851537
