source	label	mean	l95	u95
out.txt	t_n16	7.5124	6.3362	9.9346
out.txt	t_n17	6.7822	6.0854	7.5686
out.txt	t_n18	6.1057	5.3428	7.0397
out.txt	t_n19	6.3547	5.7626	6.7264
out.txt	t_n20	5.7099	5.203	6.2617
out.txt	t_n21	5.019	4.7786	5.4873
out.txt	t_n22	4.7681	4.3352	5.2722
out.txt	t_n23	4.3606	3.735	4.9388
out.txt	t_n24	3.8093	2.9777	4.5122
out.txt	t_n25	3.4147	2.4771	4.1948
out.txt	t_n26	0.5697	0.3618	0.6951
out.txt	t_n27	3.2431	2.3085	4.0551
out.txt	t_n28	2.8683	1.4197	4.0499
out.txt	t_n29	0.224	0.1761	0.2505
