#Taxon_ID	Increase	Decrease
<22>	125	33
Patinopecten_yessoensis<7>	940	518
<23>	279	58
<24>	302	92
<25>	181	86
<17>	6	65
<18>	95	48
Pomacea_canaliculata<12>	639	1120
Drosophila_melanogaster<14>	431	3336
Mytilus_coruscus<6>	1231	1117
Branchiostoma_floridae<1>	1163	1238
Homo_sapiens<2>	2371	1635
<19>	10	249
<20>	154	84
Capitella_teleta<3>	1583	1148
<21>	178	165
<28>	492	355
<26>	438	534
Nematostella_vectensis<15>	916	799
<27>	151	167
Nautilus_pompilius<13>	666	1768
Tegillarca_granosa<8>	1982	1257
Sinonovacula_constricta<10>	541	441
Crassostrea_gigas<5>	611	446
Crassostrea_ariakensis<4>	534	962
<29>	219	481
Sinonovacula_rivularis<11>	571	1400
Cyclina_sinensis<9>	1587	519
