Orthogroup	Branchiostoma_floridae	Capitella_teleta	Crassostrea_ariakensis	Crassostrea_gigas	Cyclina_sinensis	Drosophila_melanogaster	Homo_sapiens	Mytilus_coruscus	Nautilus_pompilius	Nematostella_vectensis	Patinopecten_yessoensis	Pomacea_canaliculata	Sinonovacula_constricta	Sinonovacula_rivularis	Tegillarca_granosa	Total
OG0000000	44	8	166	93	107	1	23	209	2	0	72	50	60	48	105	988
OG0000001	133	82	128	147	29	8	5	174	8	57	51	68	26	11	47	974
OG0000002	64	53	63	105	69	1	9	117	13	41	69	30	56	33	91	814
OG0000003	22	81	9	32	3	1	2	297	1	178	93	13	2	18	14	766
OG0000004	47	55	37	47	41	1	14	37	8	28	48	190	42	24	37	656
OG0000005	49	31	72	59	26	2	4	96	1	8	27	9	83	33	121	621
OG0000006	46	54	67	67	39	1	10	186	8	4	31	38	20	11	30	612
OG0000007	21	29	36	57	46	1	13	62	25	31	49	41	46	44	67	568
OG0000008	1	5	126	122	52	1	1	104	2	4	68	2	17	17	36	558
OG0000009	4	20	16	192	11	0	0	137	0	95	34	0	6	13	10	538
OG0000010	10	2	67	58	55	1	1	62	23	3	58	71	43	29	39	522
OG0000011	1	0	48	89	27	0	1	301	0	8	7	0	3	5	29	519
OG0000012	1	1	3	2	9	0	2	460	2	1	2	2	5	5	12	507
OG0000013	7	15	55	77	50	0	3	99	2	2	61	2	48	37	38	496
OG0000014	13	11	105	67	62	0	0	113	0	5	9	0	45	25	29	484
OG0000015	66	26	25	39	42	4	13	45	9	8	45	41	34	26	57	480
OG0000016	11	1	8	16	13	0	0	198	0	9	15	2	152	8	41	474
OG0000017	17	30	12	25	21	0	0	79	0	0	8	0	160	13	108	473
OG0000018	0	5	99	69	64	1	0	111	1	4	16	10	58	23	1	462
OG0000019	4	13	38	22	52	0	0	154	0	21	12	0	24	3	112	455
OG0000020	108	20	24	30	24	1	6	42	15	33	34	22	16	12	37	424
OG0000021	0	5	73	66	9	1	1	167	0	8	6	15	15	18	34	418
OG0000022	9	4	43	29	7	1	3	166	1	3	24	3	46	21	49	409
OG0000023	2	3	83	61	59	1	3	60	6	3	45	17	35	12	9	399
OG0000024	56	73	7	7	9	0	3	6	1	173	30	4	11	6	8	394
OG0000025	23	68	18	32	36	0	39	64	2	16	5	51	20	14	5	393
OG0000026	2	1	29	53	46	0	0	57	2	0	31	1	60	77	28	387
OG0000027	39	11	28	67	29	0	0	61	0	27	35	34	10	9	36	386
OG0000028	35	17	34	39	21	4	6	76	10	18	34	40	6	8	22	370
OG0000029	31	14	35	45	3	0	0	85	1	11	23	1	52	26	38	365
OG0000030	2	6	23	28	51	1	1	81	5	1	43	28	26	20	49	365
OG0000031	1	0	218	131	1	0	2	2	1	1	2	1	1	0	1	362
OG0000032	7	14	7	17	8	1	7	225	4	6	24	7	7	19	7	360
OG0000033	20	54	66	52	15	1	2	43	2	6	19	5	32	8	34	359
OG0000034	21	11	79	56	27	0	1	80	1	11	12	1	27	5	21	353
OG0000035	17	96	17	10	44	1	8	12	7	15	43	36	20	10	13	349
OG0000036	7	27	15	16	11	0	2	59	0	19	18	8	89	13	64	348
OG0000037	1	1	0	0	66	0	0	14	0	0	0	0	115	148	1	346
OG0000038	1	25	25	37	32	6	4	34	9	16	50	23	19	11	52	344
OG0000039	25	3	27	39	33	0	1	59	4	46	41	21	16	11	17	343
OG0000040	129	13	11	20	13	1	22	29	2	0	28	42	8	7	15	340
OG0000041	11	43	23	14	14	0	4	52	0	6	8	2	61	21	80	339
OG0000042	200	35	4	4	8	1	24	7	5	13	19	12	0	0	5	337
OG0000043	16	99	51	38	22	0	1	29	4	11	15	4	17	10	20	337
OG0000044	23	59	8	35	26	0	4	33	3	19	11	12	49	32	23	337
OG0000045	1	1	45	49	26	0	3	95	1	0	10	4	17	9	76	337
OG0000046	51	20	25	22	46	1	8	37	3	6	32	18	20	8	38	335
OG0000047	26	33	19	22	22	0	9	47	8	5	27	56	12	13	35	334
OG0000048	10	9	35	2	9	0	0	159	0	9	4	0	32	6	54	329
OG0000049	2	6	115	137	1	0	4	8	2	0	1	2	1	3	46	328
OG0000050	0	55	50	19	30	0	0	11	0	0	2	0	25	6	130	328
OG0000051	10	28	18	42	5	1	6	98	2	2	8	8	23	17	57	325
OG0000052	23	0	12	17	2	0	0	171	0	39	23	0	1	1	33	322
OG0000053	3	0	41	57	3	0	0	77	0	4	22	0	10	6	94	317
OG0000054	0	15	33	57	52	0	0	7	0	0	14	3	30	3	100	314
