GeneID	GO_ID
Sco12g10160.1	33208|Metazoa
Sco17g15270.1	2759|Eukaryota
Sco16g07160.1	33208|Metazoa
Sco12g12590.1	33208|Metazoa
Sco03g11520.1	35493|Streptophyta
Sco11g09100.1	33208|Metazoa
Sco19g07350.1	33208|Metazoa
Sco03g00450.1	33208|Metazoa
Sco06g06260.1	33208|Metazoa
Sco16g00070.1	33208|Metazoa
Sco04g01120.1	33208|Metazoa
Sco12g13050.1	33208|Metazoa
Sco11g03050.1	33208|Metazoa
Sco18g04630.1	33208|Metazoa
Sco01g10560.1	33208|Metazoa
Sco05g11710.1	2759|Eukaryota
Sco05g00590.1	33208|Metazoa
Sco19g11640.1	33208|Metazoa
Sco17g13480.1	33208|Metazoa
Sco17g16050.1	33208|Metazoa
Sco18g05020.1	33208|Metazoa
Sco01g03750.1	2759|Eukaryota
Sco10g08510.1	201174|Actinobacteria
Sco16g07070.1	33208|Metazoa
Sco14g12500.1	33208|Metazoa
Sco08g07690.1	33208|Metazoa
Sco14g15300.1	33208|Metazoa
Sco13g02600.1	33208|Metazoa
Sco08g01080.1	33208|Metazoa
Sco03g03040.1	33208|Metazoa
Sco08g06590.1	33208|Metazoa
Sco14g05500.1	2759|Eukaryota
Sco01g10810.1	33208|Metazoa
Sco15g03520.1	33208|Metazoa
Sco14g07870.1	33208|Metazoa
Sco10g03020.1	33208|Metazoa
Sco13g02870.1	33208|Metazoa
Sco04g09080.1	33208|Metazoa
Sco12g08700.1	33208|Metazoa
Sco15g10320.1	28211|Alphaproteobacteria
Sco17g01090.1	2759|Eukaryota
Sco14g04990.1	33208|Metazoa
Sco19g01250.1	33208|Metazoa
Sco03g03260.1	33154|Opisthokonta
Sco11g11030.1	33208|Metazoa
Sco02g09760.1	33208|Metazoa
Sco09g03950.1	33208|Metazoa
Sco10g08830.1	33208|Metazoa
Sco07g01060.1	33208|Metazoa
Sco12g06430.1	33208|Metazoa
Sco01g07720.1	33208|Metazoa
Sco11g02900.1	33208|Metazoa
Sco03g06390.1	33208|Metazoa
Sco12g09870.1	33208|Metazoa
Sco18g04910.1	2759|Eukaryota
Sco16g08930.1	33208|Metazoa
Sco02g04580.1	33208|Metazoa
Sco06g11180.1	33208|Metazoa
Sco06g12950.1	33208|Metazoa
Sco17g14590.1	33208|Metazoa
Sco12g10390.1	33208|Metazoa
Sco13g13740.1	33208|Metazoa
Sco19g09430.1	33208|Metazoa
Sco17g13600.1	33208|Metazoa
Sco19g10400.1	33208|Metazoa
Sco14g09600.1	33208|Metazoa
Sco09g00240.1	33208|Metazoa
Sco04g02320.1	33208|Metazoa
Sco14g10570.1	33208|Metazoa
Sco08g07360.1	33208|Metazoa
Sco14g13940.1	33208|Metazoa
Sco12g03760.1	33208|Metazoa
Sco09g02860.1	33208|Metazoa
Sco19g02940.1	33208|Metazoa
Sco08g01720.1	33208|Metazoa
Sco18g00330.1	33208|Metazoa
Sco05g08940.1	33208|Metazoa
Sco05g10760.1	33208|Metazoa
Sco18g04670.1	33208|Metazoa
Sco14g15870.1	33208|Metazoa
Sco12g11520.1	33208|Metazoa
Sco17g01240.1	33208|Metazoa
Sco02g06980.1	33208|Metazoa
Sco11g03790.1	33208|Metazoa
Sco03g07620.1	33208|Metazoa
Sco16g10390.1	33208|Metazoa
Sco06g07610.1	33208|Metazoa
Sco05g03550.1	33208|Metazoa
Sco06g06930.1	33208|Metazoa
Sco17g01590.1	33208|Metazoa
Sco05g07140.1	33208|Metazoa
Sco17g20840.1	33208|Metazoa
Sco19g04090.1	33208|Metazoa
Sco15g10830.1	2759|Eukaryota
Sco06g12300.1	33208|Metazoa
Sco02g07620.1	33208|Metazoa
Sco07g01000.1	33208|Metazoa
Sco13g12750.1	33208|Metazoa
Sco01g07350.1	33208|Metazoa
Sco10g03340.1	2759|Eukaryota
Sco05g07090.1	33208|Metazoa
Sco10g03550.1	33208|Metazoa
Sco19g01360.1	33208|Metazoa
Sco17g14230.1	33208|Metazoa
Sco08g04510.1	33208|Metazoa
Sco17g08160.1	33208|Metazoa
Sco13g07190.1	33208|Metazoa
Sco17g13320.1	33208|Metazoa
Sco12g11290.1	33208|Metazoa
Sco01g02970.1	33208|Metazoa
Sco01g09290.1	33208|Metazoa
Sco07g01470.1	33208|Metazoa
Sco07g00750.1	33208|Metazoa
Sco19g05020.1	33208|Metazoa
Sco05g02500.1	33208|Metazoa
Sco16g08290.1	33208|Metazoa
Sco14g08910.1	33208|Metazoa
Sco07g03880.1	33208|Metazoa
Sco12g08260.1	33208|Metazoa
Sco19g00440.1	33208|Metazoa
Sco15g12110.1	33208|Metazoa
Sco05g00530.1	33208|Metazoa
Sco11g05760.1	33208|Metazoa
Sco14g03690.1	33208|Metazoa
Sco03g01730.1	33208|Metazoa
Sco01g01120.1	33208|Metazoa
Sco06g06530.1	33208|Metazoa
Sco01g04000.1	33208|Metazoa
Sco07g00760.1	33208|Metazoa
Sco06g05140.1	33208|Metazoa
Sco11g03520.1	33208|Metazoa
Sco19g05010.1	33208|Metazoa
Sco09g02480.1	33208|Metazoa
Sco08g00180.1	33208|Metazoa
Sco16g12960.1	33208|Metazoa
Sco17g05400.1	33208|Metazoa
Sco14g08350.1	33208|Metazoa
Sco02g04310.1	33154|Opisthokonta
Sco19g10380.1	33208|Metazoa
Sco19g14250.1	33208|Metazoa
Sco04g10510.1	33208|Metazoa
Sco16g12650.1	2759|Eukaryota
Sco06g11880.1	33208|Metazoa
Sco14g10130.1	33208|Metazoa
Sco19g04190.1	2759|Eukaryota
Sco12g07020.1	33208|Metazoa
Sco07g01700.1	33208|Metazoa
Sco15g04980.1	33208|Metazoa
Sco11g11950.1	33208|Metazoa
Sco16g01840.1	33208|Metazoa
Sco03g07480.1	33208|Metazoa
Sco19g12590.1	33208|Metazoa
Sco15g05730.1	33208|Metazoa
Sco16g12830.1	33208|Metazoa
Sco14g08290.1	33208|Metazoa
Sco19g02070.1	33208|Metazoa
Sco10g01880.1	33208|Metazoa
Sco17g03310.1	33208|Metazoa
Sco07g09440.1	33208|Metazoa
Sco02g09740.1	33208|Metazoa
Sco10g06910.1	33208|Metazoa
Sco15g02570.1	33208|Metazoa
Sco17g07890.1	33208|Metazoa
Sco16g00480.1	33208|Metazoa
Sco12g10270.1	33208|Metazoa
Sco17g06580.1	33208|Metazoa
Sco17g03920.1	33208|Metazoa
Sco03g00050.1	33208|Metazoa
Sco12g14550.1	33208|Metazoa
Sco01g10880.1	33208|Metazoa
Sco06g11670.1	33208|Metazoa
Sco13g14980.1	33208|Metazoa
Sco14g12380.1	33208|Metazoa
Sco11g06420.1	33208|Metazoa
Sco09g06090.1	33208|Metazoa
Sco08g02780.1	33208|Metazoa
Sco17g19970.1	33208|Metazoa
Sco18g08610.1	2759|Eukaryota
Sco11g03160.1	33208|Metazoa
Sco15g06440.1	33208|Metazoa
Sco13g04920.1	1117|Cyanobacteria
Sco01g05070.1	35493|Streptophyta
Sco18g04940.1	33208|Metazoa
Sco03g05640.1	2759|Eukaryota
Sco14g09990.1	33208|Metazoa
Sco13g01700.1	33208|Metazoa
Sco07g05340.1	33208|Metazoa
Sco10g01050.1	33208|Metazoa
Sco17g12160.1	33208|Metazoa
Sco13g03350.1	33208|Metazoa
Sco16g07880.1	33208|Metazoa
Sco05g08120.1	33208|Metazoa
Sco06g03020.1	33208|Metazoa
