GeneID	KO_ID
Sco12g10160.1	UPF0600 protein C5orf51 homolog
Sco17g15270.1	Cupin-like domain
Sco16g07160.1	Aminoacylase 1
Sco12g12590.1	telomerase activity
Sco03g11520.1	Cytochrome p450
Sco11g09100.1	Alpha- and gamma-adaptin binding protein
Sco19g07350.1	Proline rich 5 like
Sco03g00450.1	MYND finger
Sco06g06260.1	aromatase activity
Sco16g00070.1	RNA ligase (ATP) activity
Sco04g01120.1	regulation of cell shape
Sco12g13050.1	Basic helix-loop-helix family
Sco12g13050.1	 member e22
Sco11g03050.1	Dpy-30 motif
Sco18g04630.1	nucleosome assembly
Sco01g10560.1	Belongs to the MCM family
Sco05g11710.1	Prolyl 4-hydroxylase alpha subunit homologues.
Sco05g00590.1	Histone H2A
Sco19g11640.1	A Receptor for Ubiquitination Targets
Sco17g13480.1	MIZ/SP-RING zinc finger
Sco17g16050.1	-
Sco18g05020.1	Transposase IS4
Sco01g03750.1	actinin binding
Sco10g08510.1	Avidin family
Sco16g07070.1	Solute carrier family 6 (neurotransmitter transporter
Sco16g07070.1	 creatine)
Sco16g07070.1	 member 8
Sco14g12500.1	protein phosphatase regulator activity
Sco08g07690.1	-
Sco14g15300.1	13-prostaglandin reductase activity
Sco13g02600.1	Methyltransferase domain
Sco08g01080.1	FAM194 protein
Sco03g03040.1	Cytochrome b5
Sco08g06590.1	motor activity
Sco14g05500.1	Calcium-binding protein
Sco01g10810.1	EF hand
Sco15g03520.1	DTW domain-containing protein 1
Sco14g07870.1	nuclear pore localization
Sco10g03020.1	Calcium ion binding. It is involved in the biological process described with signal transduction
Sco13g02870.1	amino acid activation for nonribosomal peptide biosynthetic process
Sco04g09080.1	D123
Sco12g08700.1	mannosylation
Sco15g10320.1	ubiE/COQ5 methyltransferase family
Sco17g01090.1	Ribonuclease H protein
Sco14g04990.1	Putative cytokine
Sco14g04990.1	 C6ORF120
Sco19g01250.1	1-acyl-sn-glycerol-3-phosphate acyltransferase
Sco03g03260.1	Reverse transcriptase (RNA-dependent DNA polymerase)
Sco11g11030.1	negative regulation of heat generation
Sco02g09760.1	Neurocan
Sco09g03950.1	solute carrier family 4
